# kappa_CO Color Extended Emission_line_flux
1.117246526900537995e-01 1.252368671675804901e+00 -2.547955871835016484e-01 3.380596129268480937e-02
-9.791033835251732320e-01 -2.456371985630368959e-01 -3.594166511010781200e-03 1.005958768091416884e-02
1.574358335054714120e+00 3.823001648808484476e-01 -2.478178875700969008e-01 -2.784708199292624897e+01
-1.524959884386917874e+00 -1.379765509120652212e+00 5.735688150050073375e-01 7.551031521086389899e-03
-2.045228908373668969e-02 -2.534730791337675981e-01 -1.042515284156509681e-01 6.397616673872673007e-03
6.608609613204882161e-01 5.573308683026495514e-01 -1.417233086368420991e-01 3.248798666789566580e-02
-1.405101813430642554e+00 3.111180848554226941e-01 -1.985022539352798154e-01 8.980475052561935623e-03
-6.181186574650866516e-01 -8.142391722275688082e-01 -2.136974659906459573e-01 6.223579416428672018e-02
-1.296401659573594545e+00 -8.049268574400527676e-01 3.358385760072173931e-01 7.746466923381815917e-03
-1.466806546020183122e+00 -9.142866360455736974e-01 4.363156757942329017e-02 9.062089648457104588e-03
6.617398969998539160e-01 6.990335781477201582e-01 -2.259424738040177738e-01 5.649235866363140623e-02
-6.043936183783096272e-01 -3.430587659026663738e-01 2.900112622186906686e-01 8.177889858298113823e-03
3.821926815476488493e-01 1.175788696048861270e+00 -1.166256275931471936e-01 2.473304809842917507e-02
1.008902695111417946e+00 1.008082700090030759e+00 -4.179183970129909942e-02 1.667804350044396061e-02
-1.048384574592463814e+00 -1.278939226648239114e+00 -1.181009154585913740e-01 1.603004700427731674e-02
-6.639010732293292305e-01 -8.488022537809412071e-01 -2.288723952174637477e-01 8.570450019737560834e-03
4.421683871271270272e-01 6.044227429571026322e-01 -2.549741749247561029e-01 1.941559238889085937e-02
1.371019695187594811e+00 7.479574492046095480e-02 -2.449365347399893866e-01 2.784673035783481049e-02
-3.248096445183965009e-01 1.009143916752379133e-01 -9.412764208125651288e-02 1.066612397659586452e-02
1.205879122959499172e+00 5.809561970799553832e-01 -1.513036366432361501e-01 2.322796511986981866e-02
-1.435306029153338159e+00 -1.105986693838846291e+00 -7.220991716708183294e-02 2.042587445656053602e-02
9.272349787101565877e-01 -5.742360374495483200e-01 -2.822999542593010794e-02 1.445152288583820797e-02
1.701882844239235082e+00 9.975474243412137954e-01 -2.529524612011476714e-01 -7.041861383633959970e-02
-9.926012140376182236e-02 -9.912750936867963381e-01 -9.098545840274770147e-02 6.472834856736892593e-03
2.449573849055841357e-01 6.953281443502472570e-01 3.822170513311555329e+00 7.497586803158602870e-04
3.185081628510759433e-02 1.918129689978730790e+00 -2.099243014984362166e-01 1.238904778205704438e-02
-1.055614024337912848e+00 -7.443240505736857804e-01 -1.441041566494081771e-01 -5.408663547366051975e-03
-7.197266384152667396e-01 -7.418956723824072785e-01 -2.021153365397808377e-01 7.834843876388910416e-03
-1.474137718606880032e+00 2.394916895483752139e-01 -6.819424188769408757e-02 3.195088125642919254e-03
-5.867847349675594515e-01 -1.864687266398806775e+00 1.261553454282935693e-01 -1.943727412122515062e-03
-1.105495259350979920e+00 6.320591654814651239e-01 -1.691939868510550574e-02 1.049905863498684470e-02
5.945417146308858147e-02 -9.030417117210541855e-01 -1.718757815041793147e-01 -6.214629780680577809e-02
-3.624843050451102139e-02 2.286422991447893072e+00 9.595400962376851584e-02 -5.690413349689481259e-02
-1.281789275459386257e+00 -9.221353893264956358e-01 -1.879220530755705554e-01 1.276385466752544273e-02
5.250995768530031249e-01 -5.048747634987105215e-01 -1.870974003011978692e-01 -9.503412470607839951e-04
-7.408277219773277134e-01 -1.613175981575492024e+00 1.121614888009382222e-01 2.245488755186377319e-02
1.403044965934588106e-01 1.688858607232793241e-01 -1.938058811106413704e-01 7.454428278183181274e-03
5.236804524465874522e-01 1.699975245863953877e+00 -2.324829878624405932e-01 1.400246812053859528e-02
5.756310292652337957e-01 -8.129603434384363725e-01 -2.501866531228139068e-01 1.544360324539082504e-03
1.273353863738107661e+00 6.420547177081187273e-02 -2.445966190157215503e-01 4.262662724592198270e-03
7.854766088527646850e-02 1.382087873734544781e+00 -2.404073521840790484e-01 1.887669602987680426e-02
-8.258801017853886206e-01 -3.398095595159891791e-01 7.087842410229834578e-02 9.612857020488779769e-03
-1.239761628100006341e+00 -1.057707856574359173e+00 -1.567214072704233574e-01 1.082987825730443408e-02
1.219543879879513737e+00 -7.392995536558029102e-01 -2.107245914813008492e-01 9.423222385460741646e-03
-1.424490103644873162e+00 1.045413672349845058e+00 -7.656469442240491918e-02 8.575132118243077722e-03
-7.224144806043990563e-01 -2.169614262348811273e+00 -1.578049666743280566e-01 8.891813292297576915e-03
8.376233472175188544e-01 1.377110611150329511e-01 -1.267766979353303902e-01 1.775798498880854989e-02
-1.130175031399523577e+00 1.786642655419036219e-01 1.549324372785217674e-01 3.830147582779777887e-03
-1.703852250082514397e+00 -3.107476884280333529e-01 -2.367159788469554160e-01 5.454002078117448776e-02
-8.449247534910310220e-01 2.973359367509240681e-01 -1.045405396279300847e-01 3.014429959580141368e-03
-4.340577559831932941e-01 -1.250999421089320052e+00 -3.551290427945354156e-02 8.741055942062932183e-03
1.206336651653176606e+00 4.557362798947671156e-01 -2.164719893968704845e-01 2.203898225114024612e-02
1.096898085846328419e+00 1.148077967623588824e+00 -2.501612400807795566e-01 2.302843114514890530e-02
-1.559159183404603910e+00 -7.582851851057907933e-01 -2.307177120709771878e-01 9.074531644984513978e-03
-1.547810554914808012e-01 -8.243958391862693524e-01 -2.373196185361466370e-01 6.682063377234342093e-03
